A,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
" best diet meal plans to lose weight wellbutrin weight loss forum us  unlike many dietu ",15,97.53,74.76,1.00,1.00,15.00,6.67,86.67,20.00,6.67,6.67,0.00,6.67,0.00,0.00,0.00,0.00,0.00,13.33,0.00,0.00,0.00,0.00,6.67,6.67,6.67,0.00,0.00,6.67,20.00,6.67,13.33,0.00,0.00,13.33,6.67,0.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,0.00,6.67,13.33,0.00,0.00,13.33,33.33,0.00,13.33,0.00,33.33,33.33,6.67,26.67,6.67,6.67,13.33,0.00,6.67,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" without wellbutrin i'd have to kill somebody when helping girlie with her math ug",14,14.58,76.25,13.15,25.77,14.00,28.57,85.71,57.14,21.43,14.29,7.14,0.00,0.00,7.14,0.00,7.14,0.00,21.43,14.29,7.14,7.14,7.14,14.29,0.00,0.00,7.14,0.00,0.00,14.29,7.14,7.14,0.00,7.14,0.00,28.57,0.00,0.00,14.29,0.00,14.29,0.00,0.00,0.00,7.14,0.00,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.14,0.00,7.14,0.00,0.00,7.14,7.14,0.00,0.00,0.00,0.00,7.14,0.00,0.00,0.00,0.00,0.00,0.00,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.14,0.00,0.00
" i'm alive today thanks to effexor  wellbutrin  zoloft better living through chemistry",12,93.26,20.24,23.51,99.00,12.00,33.33,75.00,25.00,8.33,8.33,8.33,0.00,0.00,0.00,0.00,0.00,0.00,16.67,8.33,0.00,0.00,0.00,25.00,16.67,8.33,0.00,0.00,0.00,16.67,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,25.00,0.00,0.00,8.33,0.00,8.33,0.00,8.33,0.00,0.00,25.00,0.00,8.33,0.00,0.00,8.33,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00
" on the wellbutrin one drink equals a horrendous hang over the next day it's just not worth it",18,93.26,13.32,98.01,25.77,18.00,11.11,88.89,50.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,11.11,16.67,11.11,5.56,5.56,0.00,5.56,11.11,11.11,5.56,0.00,5.56,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.56,0.00,0.00,0.00,0.00,0.00,5.56,0.00,0.00,0.00,0.00,5.56,0.00,0.00,0.00,5.56,5.56,0.00,0.00,5.56,0.00,0.00,0.00,11.11,0.00,27.78,5.56,11.11,11.11,0.00,5.56,0.00,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.56,0.00,0.00
" don't forget your wellbutrin you're crushing without it but distraction never goes away; liberation is ever out of reach",19,6.56,29.92,99.00,25.77,19.00,26.32,84.21,63.16,15.79,10.53,0.00,0.00,10.53,0.00,0.00,5.26,0.00,21.05,15.79,10.53,5.26,15.79,26.32,0.00,0.00,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00,0.00,10.53,0.00,0.00,0.00,0.00,26.32,5.26,0.00,0.00,0.00,10.53,10.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.26,0.00,0.00,5.26,0.00,0.00,0.00,26.32,0.00,26.32,5.26,10.53,10.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.79,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00,10.53,0.00,0.00
" update bupropion hydrochloride extendedrelease  mg (wellbutrin) bioequivalence studies ",8,93.26,50.00,7.84,25.77,8.00,75.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,12.50,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00
" depression kills my sex drivenon my good days wellbutrin makes me horny enough to fuck the crack of dawn na happy medium would be nice",25,82.26,5.50,6.70,25.77,25.00,12.00,72.00,32.00,12.00,12.00,12.00,0.00,0.00,0.00,0.00,0.00,4.00,8.00,8.00,0.00,0.00,0.00,16.00,12.00,0.00,0.00,0.00,0.00,24.00,12.00,12.00,0.00,8.00,4.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,4.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,4.00,0.00,12.00,0.00,4.00,0.00,0.00,0.00,4.00,0.00,0.00,12.00,0.00,4.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,4.00,4.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" diet doc patients thought to lose more weight than contrave or belviq patients without ",14,97.73,1.00,89.63,1.00,14.00,35.71,64.29,28.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.43,0.00,0.00,7.14,7.14,14.29,14.29,14.29,0.00,0.00,7.14,7.14,0.00,7.14,0.00,0.00,7.14,0.00,0.00,0.00,0.00,0.00,28.57,7.14,0.00,0.00,7.14,0.00,21.43,7.14,0.00,0.00,7.14,14.29,0.00,7.14,0.00,14.29,7.14,0.00,7.14,0.00,0.00,7.14,0.00,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" i've never heard of it contrave  i was so mad she was a coward to  me after spending a week with them",22,21.87,32.48,61.34,1.00,22.00,9.09,95.45,72.73,27.27,22.73,13.64,0.00,0.00,4.55,4.55,4.55,9.09,18.18,13.64,9.09,4.55,4.55,22.73,4.55,4.55,0.00,0.00,0.00,4.55,0.00,4.55,0.00,4.55,0.00,13.64,0.00,0.00,4.55,0.00,4.55,0.00,0.00,0.00,0.00,4.55,0.00,4.55,0.00,4.55,0.00,0.00,0.00,0.00,0.00,0.00,4.55,0.00,0.00,4.55,0.00,0.00,13.64,4.55,0.00,13.64,0.00,0.00,13.64,0.00,0.00,0.00,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.55,0.00,0.00
" yeah i'm on wellbutrin and it fucks up my sleep but i haven't had it that long",17,1.00,1.00,99.00,1.00,17.00,5.88,94.12,70.59,35.29,17.65,17.65,0.00,0.00,0.00,0.00,17.65,0.00,11.76,17.65,0.00,11.76,5.88,23.53,0.00,0.00,0.00,0.00,0.00,5.88,0.00,5.88,0.00,5.88,0.00,0.00,0.00,0.00,0.00,0.00,11.76,0.00,0.00,0.00,0.00,0.00,11.76,0.00,0.00,0.00,0.00,11.76,5.88,0.00,5.88,0.00,5.88,0.00,0.00,5.88,0.00,0.00,5.88,17.65,0.00,17.65,0.00,17.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.76,5.88,0.00,5.88,0.00,0.00,11.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.76,0.00,0.00
" i was on wellbutrin and buspirone they worked but i also never got sleep and felt forced to be happy",20,1.92,6.70,93.30,96.76,20.00,10.00,90.00,60.00,15.00,15.00,10.00,0.00,0.00,0.00,5.00,0.00,0.00,10.00,10.00,10.00,20.00,5.00,25.00,5.00,0.00,0.00,0.00,0.00,5.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,5.00,0.00,0.00,5.00,5.00,5.00,0.00,0.00,0.00,15.00,0.00,5.00,5.00,5.00,0.00,20.00,5.00,0.00,10.00,0.00,5.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" best diet meals delivery wellbutrin weight loss antidepressants side effects us  unlikeu  for more click u",16,85.32,96.95,35.37,25.77,16.00,31.25,87.50,18.75,12.50,12.50,0.00,6.25,6.25,0.00,0.00,0.00,0.00,6.25,0.00,0.00,0.00,0.00,0.00,12.50,12.50,0.00,0.00,6.25,12.50,6.25,6.25,0.00,0.00,6.25,6.25,0.00,0.00,0.00,0.00,6.25,6.25,6.25,0.00,0.00,0.00,0.00,12.50,0.00,6.25,6.25,25.00,0.00,12.50,0.00,18.75,18.75,6.25,12.50,6.25,6.25,6.25,0.00,0.00,0.00,12.50,6.25,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.25,0.00,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" best diet meals delivery wellbutrin weight loss antidepressants side effects us  unlikeu ",12,81.63,95.20,74.76,25.77,12.00,41.67,83.33,8.33,8.33,8.33,0.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,8.33,0.00,0.00,0.00,16.67,8.33,8.33,0.00,0.00,8.33,8.33,0.00,0.00,0.00,0.00,8.33,8.33,8.33,0.00,0.00,0.00,0.00,8.33,0.00,0.00,8.33,33.33,0.00,16.67,0.00,25.00,25.00,8.33,16.67,8.33,8.33,8.33,0.00,0.00,0.00,16.67,8.33,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" wellbutrin ends cigarette cravings and also cravings for food sex human interaction and sleep i don't think this is right for me",22,13.54,32.48,61.34,25.77,22.00,22.73,86.36,45.45,13.64,9.09,9.09,0.00,0.00,0.00,0.00,4.55,0.00,9.09,9.09,4.55,13.64,4.55,13.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,0.00,0.00,0.00,0.00,4.55,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.18,4.55,4.55,4.55,9.09,4.55,4.55,0.00,0.00,0.00,0.00,0.00,13.64,0.00,9.09,0.00,4.55,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.55,0.00,0.00
" wellbutrin doesn't usually impact your sex drive check it out ur friendly neighborhood antidepressant dealer",15,18.82,99.00,82.75,25.77,15.00,33.33,73.33,40.00,20.00,13.33,0.00,0.00,13.33,0.00,0.00,6.67,0.00,6.67,6.67,6.67,0.00,6.67,6.67,0.00,0.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,0.00,26.67,0.00,13.33,0.00,0.00,6.67,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,13.33,0.00,6.67,6.67,0.00,13.33,13.33,0.00,0.00,0.00,0.00,0.00,6.67,0.00,26.67,6.67,13.33,6.67,0.00,0.00,6.67,0.00,0.00,0.00,6.67,0.00,6.67,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,0.00
" i'm p sure i'll never go to a sporting event ever again or at the very least take so much wellbutrin to render myself incapable of emotion",27,36.10,3.22,99.00,88.52,27.00,14.81,88.89,55.56,11.11,11.11,11.11,0.00,0.00,0.00,0.00,0.00,7.41,14.81,7.41,18.52,7.41,3.70,14.81,3.70,3.70,0.00,0.00,7.41,7.41,3.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.81,0.00,0.00,0.00,3.70,11.11,3.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.41,0.00,3.70,3.70,3.70,0.00,0.00,11.11,3.70,22.22,3.70,3.70,14.81,0.00,3.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.41,0.00,0.00
" weightlossfast wellbutrin and zoloft weight loss best diet plan for beginners usu  for more click u",16,93.26,73.40,1.00,25.77,16.00,18.75,75.00,25.00,6.25,6.25,0.00,0.00,6.25,0.00,0.00,0.00,0.00,12.50,0.00,0.00,6.25,0.00,0.00,12.50,12.50,0.00,0.00,6.25,12.50,6.25,6.25,0.00,0.00,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,6.25,6.25,18.75,0.00,12.50,0.00,12.50,18.75,0.00,18.75,6.25,6.25,6.25,0.00,0.00,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.25,0.00,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" weightlossfast wellbutrin and zoloft weight loss best diet plan for beginners usu ",12,93.26,50.00,1.00,25.77,12.00,25.00,66.67,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00,8.33,0.00,0.00,8.33,8.33,0.00,0.00,0.00,16.67,8.33,8.33,0.00,0.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00,8.33,25.00,0.00,16.67,0.00,16.67,25.00,0.00,25.00,8.33,8.33,8.33,0.00,0.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" i did well with wellbutrin never tried anything else and tapered off without issue",14,14.58,1.00,99.00,99.00,14.00,28.57,78.57,64.29,14.29,7.14,7.14,0.00,0.00,0.00,0.00,7.14,0.00,21.43,7.14,14.29,7.14,14.29,14.29,0.00,0.00,0.00,0.00,0.00,7.14,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.57,0.00,0.00,0.00,7.14,7.14,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.14,0.00,7.14,0.00,0.00,0.00,14.29,0.00,0.00,14.29,0.00,7.14,7.14,0.00,0.00,0.00,0.00,0.00,0.00,7.14,0.00,0.00,0.00,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" i'm hoping it will go away but yknow i might just die which is fine whatever fuck you wellbutrin",19,1.00,14.62,50.35,97.58,19.00,10.53,94.74,63.16,31.58,15.79,10.53,0.00,5.26,0.00,0.00,15.79,0.00,5.26,21.05,5.26,5.26,0.00,42.11,5.26,0.00,10.53,0.00,0.00,15.79,10.53,5.26,0.00,5.26,0.00,5.26,0.00,0.00,0.00,0.00,15.79,0.00,0.00,5.26,10.53,0.00,5.26,0.00,0.00,0.00,0.00,5.26,0.00,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.32,15.79,10.53,5.26,5.26,0.00,0.00,0.00,0.00,0.00,0.00,5.26,10.53,5.26,0.00,0.00,0.00,5.26,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.26,0.00,0.00
" needdiet wellbutrin weight loss antidepressants side effects best diet meals deliveryu  for more click u",15,93.26,74.76,43.37,25.77,15.00,33.33,86.67,13.33,6.67,6.67,0.00,0.00,6.67,0.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,0.00,13.33,13.33,0.00,0.00,6.67,13.33,6.67,6.67,0.00,0.00,6.67,0.00,0.00,0.00,0.00,0.00,6.67,6.67,6.67,0.00,0.00,0.00,0.00,13.33,0.00,6.67,6.67,26.67,0.00,13.33,0.00,20.00,13.33,0.00,13.33,6.67,6.67,6.67,0.00,0.00,0.00,13.33,6.67,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" needdiet wellbutrin weight loss antidepressants side effects best diet meals deliveryu ",11,93.26,50.00,85.21,25.77,11.00,45.45,81.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,9.09,0.00,0.00,0.00,18.18,9.09,9.09,0.00,0.00,9.09,0.00,0.00,0.00,0.00,0.00,9.09,9.09,9.09,0.00,0.00,0.00,0.00,9.09,0.00,0.00,9.09,36.36,0.00,18.18,0.00,27.27,18.18,0.00,18.18,9.09,9.09,9.09,0.00,0.00,0.00,18.18,9.09,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
