Source (A),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
" best diet plan for fatty liver wellbutrin and zoloft together weight loss us  unlike manyu  for more click u",19,93.26,94.27,4.05,25.77,19.00,10.53,89.47,31.58,10.53,10.53,0.00,5.26,5.26,0.00,0.00,0.00,0.00,15.79,0.00,0.00,5.26,0.00,0.00,10.53,10.53,0.00,0.00,5.26,10.53,5.26,5.26,0.00,0.00,5.26,10.53,0.00,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00,0.00,5.26,10.53,0.00,5.26,5.26,26.32,10.53,15.79,0.00,15.79,26.32,10.53,15.79,5.26,5.26,5.26,0.00,0.00,5.26,5.26,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.26,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" best diet plan for fatty liver wellbutrin and zoloft together weight loss us  unlike manyu ",15,93.26,90.87,10.08,25.77,15.00,13.33,86.67,26.67,6.67,6.67,0.00,6.67,0.00,0.00,0.00,0.00,0.00,13.33,0.00,0.00,6.67,0.00,0.00,6.67,6.67,0.00,0.00,0.00,13.33,6.67,6.67,0.00,0.00,6.67,13.33,0.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,0.00,6.67,6.67,0.00,0.00,6.67,33.33,13.33,20.00,0.00,20.00,33.33,13.33,20.00,6.67,6.67,6.67,0.00,0.00,6.67,6.67,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" for those on never ending diets ask your doc for contrave it's slow but does work",16,23.10,73.40,95.60,25.77,16.00,6.25,87.50,56.25,18.75,6.25,0.00,0.00,6.25,0.00,0.00,12.50,0.00,18.75,12.50,6.25,6.25,6.25,18.75,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,6.25,6.25,0.00,0.00,0.00,0.00,6.25,0.00,6.25,0.00,6.25,6.25,0.00,6.25,0.00,0.00,0.00,0.00,25.00,0.00,25.00,6.25,6.25,18.75,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.25,0.00,0.00
" never forget when i started wellbutrin i broke out in hives and didn't sleep because i was very sure a demon was going to kill me for a week",29,23.57,1.00,99.00,1.00,29.00,10.34,93.10,62.07,13.79,13.79,13.79,0.00,0.00,0.00,0.00,0.00,6.90,13.79,10.34,10.34,10.34,6.90,24.14,0.00,0.00,3.45,0.00,0.00,10.34,3.45,6.90,0.00,3.45,3.45,0.00,0.00,0.00,0.00,0.00,13.79,0.00,3.45,0.00,0.00,6.90,3.45,0.00,0.00,0.00,0.00,3.45,3.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.24,3.45,3.45,24.14,3.45,6.90,13.79,0.00,0.00,0.00,0.00,3.45,3.45,0.00,0.00,0.00,0.00,0.00,0.00,3.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.45,0.00,0.00
" i'm scared to die but living is so fucking hard and i don't even do anything and i'm still always tirednwellbutrin helped for like weeks?",25,1.00,1.00,87.83,1.00,25.00,12.00,96.00,64.00,16.00,12.00,12.00,0.00,0.00,0.00,0.00,4.00,0.00,12.00,20.00,12.00,16.00,4.00,32.00,12.00,4.00,0.00,0.00,0.00,8.00,0.00,8.00,4.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00,0.00,0.00,4.00,4.00,4.00,4.00,0.00,0.00,4.00,8.00,0.00,4.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,24.00,0.00,12.00,0.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,4.00,4.00,4.00,0.00,0.00,0.00,0.00,16.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,12.00,0.00,0.00
" saw the contrave commercial this weekend the list of side affects are scary a planet fitness membership is  amp; won't make you suicidal",23,80.93,80.77,2.02,1.00,23.00,30.43,82.61,39.13,8.70,4.35,0.00,0.00,4.35,0.00,0.00,4.35,13.04,4.35,13.04,0.00,0.00,4.35,26.09,4.35,0.00,0.00,0.00,0.00,4.35,0.00,4.35,4.35,0.00,0.00,8.70,0.00,0.00,0.00,0.00,8.70,0.00,8.70,0.00,0.00,0.00,0.00,4.35,4.35,0.00,0.00,4.35,0.00,4.35,0.00,0.00,4.35,4.35,0.00,0.00,0.00,0.00,4.35,13.04,4.35,8.70,0.00,4.35,4.35,4.35,8.70,0.00,0.00,0.00,4.35,0.00,0.00,0.00,0.00,0.00,0.00,8.70,0.00,0.00,0.00,4.35,0.00,0.00,0.00,0.00,4.35,0.00,0.00
" it is criminal for the fda to allow lethal drugs to advertise on tv contrave by orexigen ads say it can cause suicidie or liver lethality ",26,96.16,50.00,1.40,25.77,26.00,23.08,80.77,42.31,7.69,0.00,0.00,0.00,0.00,0.00,0.00,7.69,3.85,19.23,7.69,0.00,3.85,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.85,0.00,0.00,0.00,0.00,11.54,0.00,7.69,0.00,3.85,0.00,3.85,3.85,0.00,3.85,0.00,7.69,3.85,3.85,0.00,0.00,7.69,0.00,0.00,7.69,0.00,0.00,0.00,11.54,0.00,3.85,0.00,3.85,0.00,0.00,3.85,0.00,0.00,0.00,11.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" also idk friendo what ur goin thru but if its depression amp; if u change meds again try wellbutrin its good amp; doesnt rlly fuck wit u",27,1.00,13.32,15.12,1.00,27.00,11.11,70.37,51.85,25.93,14.81,3.70,0.00,11.11,0.00,0.00,11.11,0.00,3.70,3.70,7.41,14.81,7.41,11.11,0.00,0.00,3.70,0.00,0.00,11.11,3.70,7.41,0.00,3.70,3.70,3.70,0.00,0.00,0.00,0.00,18.52,0.00,3.70,7.41,11.11,0.00,11.11,0.00,0.00,0.00,0.00,3.70,0.00,0.00,3.70,0.00,7.41,0.00,3.70,0.00,3.70,0.00,0.00,11.11,0.00,7.41,3.70,0.00,3.70,0.00,0.00,0.00,0.00,0.00,0.00,22.22,3.70,14.81,0.00,0.00,3.70,7.41,0.00,0.00,0.00,7.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" check into contrave prescription amazingly effective appetite suppressant i lost  pounds without changing my diet or exercise ate less",19,77.17,1.00,99.00,25.77,19.00,47.37,84.21,26.32,10.53,10.53,10.53,0.00,0.00,0.00,0.00,0.00,0.00,10.53,0.00,0.00,5.26,5.26,10.53,5.26,5.26,0.00,0.00,5.26,10.53,5.26,5.26,0.00,0.00,5.26,0.00,0.00,0.00,0.00,0.00,21.05,5.26,10.53,0.00,5.26,0.00,10.53,0.00,0.00,0.00,0.00,26.32,0.00,15.79,0.00,15.79,10.53,0.00,5.26,5.26,0.00,5.26,10.53,0.00,0.00,10.53,5.26,5.26,0.00,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" these contrave diet pills got me really thinking about reevaluating the way i'm living timeforachange",15,34.14,2.31,99.00,25.77,15.00,26.67,93.33,40.00,20.00,13.33,13.33,0.00,0.00,0.00,0.00,6.67,6.67,6.67,6.67,13.33,0.00,0.00,26.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,13.33,0.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,20.00,0.00,20.00,0.00,13.33,6.67,0.00,0.00,0.00,6.67,0.00,6.67,6.67,0.00,13.33,0.00,6.67,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,0.00
" don't forget your wellbutrin you're forbidden without it but uselessness never goes away; blessing is ever out of reach",19,6.56,29.92,99.00,1.00,19.00,26.32,89.47,63.16,15.79,10.53,0.00,0.00,10.53,0.00,0.00,5.26,0.00,21.05,15.79,10.53,5.26,15.79,26.32,5.26,0.00,0.00,0.00,0.00,15.79,5.26,10.53,0.00,0.00,5.26,10.53,0.00,0.00,0.00,0.00,21.05,0.00,0.00,0.00,0.00,10.53,10.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.26,0.00,0.00,5.26,0.00,0.00,0.00,26.32,0.00,26.32,5.26,10.53,10.53,0.00,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.79,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00,10.53,0.00,0.00
"  i never made the connection between disturbed sleep patterns and small time changes regarding wellbutrin specifically (i take many rxs)",20,66.46,6.70,99.00,1.00,20.00,40.00,85.00,40.00,10.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,5.00,10.00,0.00,10.00,5.00,5.00,10.00,5.00,0.00,0.00,0.00,5.00,5.00,0.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,10.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,5.00,5.00,0.00,0.00,0.00,10.00,0.00,0.00,5.00,5.00,0.00,5.00,5.00,0.00,25.00,5.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00
" contrave  new antidepressant that warns of suicidal thoughtsnni've never had suicidal thoughts while ingesting cannabis yet i'm stigmatized dailynnplantsnotpills  cdnpoli",20,15.77,15.86,93.30,1.00,20.00,55.00,75.00,35.00,10.00,5.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,5.00,10.00,10.00,5.00,5.00,10.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,5.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,10.00,0.00,5.00,5.00,0.00,0.00,0.00,0.00,5.00,5.00,5.00,0.00,20.00,0.00,0.00,20.00,0.00,5.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00
" the fdauddudc0d(fucking die assholes) uwant to know just how ruthless the fdaamp;big pharma r read these suboxone is a very powerful partial opioid agonistessentially itus a bridge heroinpainkiller addictus contrave is advertised as a weightloss solutionsthis is fuckn dangerousuufe0f ",41,87.45,31.29,1.17,1.00,41.00,36.59,58.54,34.15,2.44,0.00,0.00,0.00,0.00,0.00,0.00,2.44,12.20,4.88,7.32,7.32,4.88,0.00,14.63,7.32,2.44,2.44,0.00,0.00,4.88,0.00,4.88,0.00,4.88,0.00,0.00,0.00,0.00,0.00,0.00,7.32,4.88,4.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.32,2.44,2.44,2.44,0.00,7.32,0.00,4.88,4.88,0.00,0.00,0.00,12.20,0.00,2.44,0.00,2.44,0.00,2.44,0.00,0.00,0.00,0.00,2.44,7.32,4.88,2.44,0.00,0.00,0.00,7.32,0.00,0.00,0.00,2.44,0.00,0.00,0.00,0.00,0.00,4.88,0.00
" i only caught bits of it my jaw dropped when he said that the influence of the nra on politics isn't from the money what fucking planet is he living on?",31,63.48,25.93,20.84,1.23,31.00,12.90,90.32,61.29,22.58,12.90,6.45,0.00,0.00,6.45,0.00,9.68,9.68,16.13,6.45,6.45,3.23,3.23,16.13,6.45,0.00,6.45,0.00,3.23,3.23,0.00,3.23,0.00,3.23,0.00,9.68,0.00,0.00,0.00,6.45,6.45,0.00,3.23,0.00,0.00,0.00,3.23,3.23,0.00,3.23,0.00,9.68,3.23,3.23,3.23,0.00,6.45,0.00,0.00,6.45,0.00,0.00,6.45,6.45,0.00,12.90,3.23,6.45,3.23,3.23,0.00,0.00,3.23,0.00,0.00,3.23,3.23,0.00,0.00,0.00,0.00,6.45,0.00,0.00,0.00,0.00,3.23,0.00,0.00,0.00,3.23,0.00,0.00
" ucthis diet pill may increase sucicdal thoughtsud okay so how and why was it approved? who decided itus okay to want to kill your self in exchange for losing a few pounds?  contrave",33,57.84,88.71,1.00,80.64,11.00,21.21,81.82,42.42,9.09,3.03,0.00,0.00,3.03,0.00,0.00,6.06,3.03,12.12,6.06,9.09,9.09,0.00,15.15,3.03,0.00,9.09,0.00,3.03,15.15,9.09,6.06,0.00,3.03,3.03,9.09,0.00,0.00,0.00,0.00,15.15,3.03,6.06,3.03,3.03,0.00,0.00,0.00,0.00,0.00,0.00,6.06,0.00,6.06,0.00,6.06,6.06,0.00,3.03,3.03,0.00,3.03,6.06,3.03,3.03,6.06,3.03,3.03,0.00,0.00,0.00,0.00,3.03,0.00,3.03,6.06,0.00,0.00,6.06,0.00,0.00,6.06,0.00,0.00,0.00,0.00,6.06,0.00,0.00,0.00,0.00,0.00,0.00
" the inactive ingredients making up the generic drugs can vary greatly and especially in extended release formulas change the drugus efficacyuso that i cannot get the prescription i need and that has kept me stable for four years now (brand name wellbutrin xl)",43,69.13,17.61,34.47,25.77,43.00,25.58,72.09,44.19,11.63,6.98,6.98,0.00,0.00,0.00,0.00,4.65,9.30,6.98,6.98,4.65,4.65,2.33,16.28,0.00,0.00,0.00,2.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.33,0.00,0.00,0.00,0.00,13.95,0.00,4.65,2.33,2.33,2.33,2.33,0.00,0.00,0.00,0.00,6.98,0.00,6.98,0.00,0.00,4.65,0.00,0.00,2.33,2.33,0.00,2.33,16.28,0.00,11.63,2.33,4.65,4.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.65,0.00
" nra spends chump change compared to big pharma who buys drs amp; lawmakers tenfold when a side effect of taking wellbutrin maybe uncontrolled speech and suicidal thoughts or actions wouldn't it stand to reason that some folks might decide to commit murder while taking this rx",46,60.05,50.00,54.89,1.00,46.00,19.57,84.78,34.78,8.70,0.00,0.00,0.00,0.00,0.00,0.00,8.70,2.17,8.70,4.35,4.35,8.70,2.17,13.04,4.35,2.17,4.35,0.00,2.17,4.35,0.00,4.35,2.17,2.17,0.00,4.35,2.17,0.00,0.00,0.00,23.91,8.70,6.52,2.17,8.70,2.17,2.17,2.17,0.00,2.17,0.00,4.35,0.00,4.35,0.00,0.00,10.87,0.00,0.00,6.52,4.35,0.00,0.00,6.52,2.17,13.04,4.35,4.35,4.35,2.17,0.00,0.00,4.35,0.00,4.35,0.00,0.00,0.00,0.00,0.00,0.00,4.35,0.00,0.00,0.00,2.17,0.00,0.00,0.00,0.00,2.17,0.00,0.00
" kendrex white  austin tx (uoft campus) nrx zoloftnweapon macheten dead  injurednnarcan cetin  burlington wanrx adhd depressionnweapon gunn dead committed suicide in jailnntravis roberson  north vernon innrx wellbutrinnweapon knifen injured",29,95.92,50.00,1.00,1.00,29.00,41.38,37.93,3.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.45,0.00,0.00,0.00,0.00,0.00,3.45,0.00,0.00,0.00,0.00,3.45,0.00,3.45,0.00,0.00,3.45,0.00,0.00,0.00,0.00,0.00,3.45,0.00,0.00,0.00,0.00,3.45,0.00,3.45,3.45,0.00,0.00,6.90,6.90,6.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.90,0.00,6.90,0.00,3.45,0.00,0.00,0.00,0.00,10.34,0.00,0.00,0.00,0.00,0.00,0.00,6.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.90,0.00
" finally listening to the first episode of tales from the pit from glad to know ium not the only one who lost their fucking mind on wellbutrin i have never been manic in my life except when i was on that shit and wanted to kill myself",47,76.93,6.83,86.65,1.00,47.00,10.64,85.11,61.70,14.89,10.64,8.51,0.00,0.00,0.00,2.13,4.26,6.38,21.28,6.38,8.51,4.26,4.26,14.89,4.26,0.00,4.26,4.26,0.00,10.64,2.13,8.51,0.00,6.38,2.13,6.38,0.00,0.00,0.00,0.00,10.64,2.13,0.00,2.13,0.00,2.13,4.26,2.13,0.00,2.13,0.00,6.38,2.13,2.13,2.13,0.00,4.26,0.00,4.26,0.00,0.00,0.00,8.51,4.26,0.00,14.89,0.00,6.38,8.51,0.00,0.00,0.00,0.00,0.00,2.13,4.26,4.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
" i had to change psychiatrists because i was getting the same treatment i will never forget telling her wellbutrin was messing with me and her answer was sleeping meds",29,7.24,24.51,26.55,25.77,29.00,27.59,82.76,58.62,20.69,20.69,13.79,0.00,0.00,6.90,0.00,0.00,3.45,6.90,17.24,3.45,6.90,3.45,31.03,6.90,3.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.34,0.00,0.00,6.90,0.00,13.79,3.45,6.90,0.00,0.00,3.45,0.00,0.00,0.00,0.00,0.00,3.45,3.45,0.00,0.00,0.00,3.45,0.00,0.00,0.00,3.45,0.00,13.79,3.45,3.45,6.90,3.45,0.00,3.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
